50 16909738
100 43272972
150 67514620
200 87185220
250 108656719
300 134287011
350 160052419
400 181055390
450 202616105
500 228776909
550 254220664
600 275510682
650 298290282
700 324490936
750 349639067
800 371709918
850 394558203
900 420078682
950 445155154
1000 467863936
1050 490413192
1100 516077441
1150 541953339
1200 564215161
1250 587172028
1300 613375751
1350 638457266
1400 659700782
1450 683867681
1500 710864659
1550 734909603
1600 756387051
1650 781591553
1700 808080872
1750 831865836
1800 854275644
1850 879738678
1900 904237764
1950 930399535
2000 953252742
